"Timestamp","Calculated Flow with Offset","Compressor #1 Desire Flow SP For PID Murphy","Compressor #2 Desire Flow SP For PID Murphy","Compressor Flow Max Deadband","Derived Run Status","Fault Indication","Flow Status Mode","Hour Meter","Run Status Comp #1","Run Status Comp #2","Total Number Of Compressors","Total Number Of Wellheads","Well #1 Analog Output 1","Well #2 Analog Output 2","Well #3 Analog Output 3","Well #4 Analog Output 4","Wellhead #1 Calculated Desired Flow","Wellhead #1 Choke Flow Priority #","Wellhead #1 Choke Oil Priority #","Wellhead #1 Flow Running Status Percent","Wellhead #1 In Manual/Auto","Wellhead #1 Injection Differential Prs From Customer PLC","Wellhead #1 Injection Flow Rate From Customer PLC","Wellhead #1 Injection Static Pressure From Customer PLC","Wellhead #1 Injection Temp From Customer PLC","Wellhead #1 Max Flow Rate","Wellhead #1 PID Flow Release","WellHead #1 Running Status","Wellhead #1 Setpoint From Customer PLC","Wellhead #1 Yesterdays Total Flow","Wellhead #2 Calculated Desired Flow","Wellhead #2 Choke Flow Priority #","Wellhead #2 Choke Oil Priority #","Wellhead #2 Flow Running Status Percent","Wellhead #2 In Manual/Auto","Wellhead #2 Injection Differential Prs From Customer PLC","Wellhead #2 Injection Flow Rate From Customer PLC","Wellhead #2 Injection Static Pressure From Customer PLC","Wellhead #2 Injection Temp From Customer PLC","Wellhead #2 Max Flow Rate","Wellhead #2 PID Flow Release","Wellhead #2 PID Min Output","WellHead #2 Running Status","Wellhead #2 Setpoint From Customer PLC","Wellhead #2 Yesterdays Total Flow","Wellhead #3 Calculated Desired Flow","Wellhead #3 Choke Flow Priority #","Wellhead #3 Choke Oil Priority #","Wellhead #3 Flow Running Status Percent","Wellhead #3 In Manual/Auto","Wellhead #3 Injection Differential Prs From Customer PLC","Wellhead #3 Injection Flow Rate From Customer PLC","Wellhead #3 Injection Static Pressure From Customer PLC","Wellhead #3 Injection Temp From Customer PLC","Wellhead #3 Max Flow Rate","Wellhead #3 PID Flow Release","WellHead #3 Running Status","Wellhead #3 Setpoint From Customer PLC","Wellhead #3 Yesterdays Total Flow","Wellhead #4 Calculated Desired Flow","Wellhead #4 Choke Flow Priority #","Wellhead #4 Choke Oil Priority #","Wellhead #4 Flow Running Status Percent","Wellhead #4 In Manual/Auto","Wellhead #4 Injection Differential Prs From Customer PLC","Wellhead #4 Injection Flow Rate From Customer PLC","Wellhead #4 Injection Static Pressure From Customer PLC","Wellhead #4 Injection Temp From Customer PLC","Wellhead #4 Max Flow Rate","Wellhead #4 PID Flow Release","Wellhead #4 PID Min Output","Wellhead #4 Setpoint From Customer PLC","Wellhead #4 Yesterdays Total Flow"
"4/12/2026 07:08:33 AM","3180","","","","","Panel Reset/Standby","","5359","Running","Running","","","66","64","71","72","0.820","","","","","44","0.813","815","142","","","Online","1.000","0.817","0.820","","","","","44","0.814","815","141","","","","Online","0.750","0.817","0.820","","","","","46","0.829","815","142","","","Online","0.800","0.817","0.800","","","","","43","0.805","815","143","","","","0.800","0.824"
"4/12/2026 06:53:33 AM","3120","","","","","Panel Reset/Standby","","5358","Running","Running","","","66","64","71","71","0.820","","","","","44","0.815","811","140","","","Online","1.000","0.817","0.820","","","","","44","0.812","810","139","","","","Online","0.750","0.817","0.820","","","","","44","0.811","810","140","","","Online","0.800","0.817","0.740","","","","","36","0.734","810","140","","","","0.800","0.824"
"4/12/2026 06:38:33 AM","3100","","","","","Panel Reset/Standby","","5358","Running","Running","","","66","64","71","70","0.820","","","","","44","0.814","817","141","","","Online","1.000","0.817","0.820","","","","","44","0.814","816","141","","","","Online","0.750","0.817","0.820","","","","","45","0.825","816","141","","","Online","0.800","0.817","0.720","","","","","33","0.713","818","142","","","","0.800","0.824"
"4/12/2026 06:23:33 AM","3202","","","","","Panel Reset/Standby","","5358","Running","Running","","","67","65","72","73","0.800","","","","","45","0.816","801","142","","","Online","1.000","0.817","0.800","","","","","46","0.819","801","142","","","","Online","0.750","0.817","0.800","","","","","46","0.818","800","142","","","Online","0.800","0.817","0.800","","","","","44","0.808","800","143","","","","0.800","0.824"
"4/12/2026 06:08:33 AM","3140","","","","","Panel Reset/Standby","","5358","Running","Running","","","67","65","72","71","0.825","","","","","45","0.819","806","141","","","Online","1.000","0.817","0.825","","","","","45","0.822","806","140","","","","Online","0.750","0.817","0.825","","","","","47","0.836","806","141","","","Online","0.800","0.817","0.765","","","","","38","0.752","806","142","","","","0.800","0.824"
"4/12/2026 05:53:33 AM","3150","","","","","Panel Reset/Standby","","5357","Running","Running","","","66","64","72","71","0.810","","","","","44","0.808","808","138","","","Online","1.000","0.817","0.810","","","","","43","0.806","808","138","","","","Online","0.750","0.817","0.810","","","","","43","0.799","807","138","","","Online","0.800","0.817","0.760","","","","","38","0.756","808","138","","","","0.800","0.824"
"4/12/2026 05:38:33 AM","3180","","","","","Panel Reset/Standby","","5357","Running","Running","","","67","65","72","73","0.820","","","","","44","0.811","808","140","","","Online","1.000","0.817","0.820","","","","","45","0.818","808","140","","","","Online","0.750","0.817","0.820","","","","","44","0.808","808","140","","","Online","0.800","0.817","0.800","","","","","44","0.807","808","140","","","","0.800","0.824"
"4/12/2026 05:23:33 AM","3140","","","","","Panel Reset/Standby","","5357","Running","Running","","","66","64","71","71","0.810","","","","","44","0.808","808","141","","","Online","1.000","0.817","0.810","","","","","44","0.807","807","141","","","","Online","0.750","0.817","0.810","","","","","45","0.819","808","142","","","Online","0.800","0.817","0.750","","","","","39","0.761","808","143","","","","0.800","0.824"
"4/12/2026 05:08:33 AM","3170","","","","","Panel Reset/Standby","","5357","Running","Running","","","67","65","71","72","0.815","","","","","44","0.809","807","140","","","Online","1.000","0.817","0.815","","","","","45","0.816","807","140","","","","Online","0.750","0.817","0.815","","","","","43","0.796","807","140","","","Online","0.800","0.817","0.785","","","","","40","0.779","806","140","","","","0.800","0.824"
"4/12/2026 04:53:33 AM","3160","","","","","Panel Reset/Standby","","5356","Running","Running","","","66","64","71","72","0.805","","","","","44","0.814","807","140","","","Online","1.000","0.817","0.805","","","","","43","0.805","807","140","","","","Online","0.750","0.817","0.805","","","","","44","0.805","807","140","","","Online","0.800","0.817","0.755","","","","","39","0.768","807","140","","","","0.800","0.824"
"4/12/2026 04:38:33 AM","3080","","","","","Panel Reset/Standby","","5356","Running","Running","","","66","64","71","69","0.815","","","","","45","0.814","808","141","","","Online","1.000","0.817","0.815","","","","","44","0.811","808","141","","","","Online","0.750","0.817","0.815","","","","","43","0.798","808","141","","","Online","0.800","0.817","0.695","","","","","31","0.686","808","141","","","","0.800","0.824"
"4/12/2026 04:23:33 AM","3100","","","","","Panel Reset/Standby","","5356","Running","Running","","","66","64","71","70","0.805","","","","","44","0.810","806","142","","","Online","1.000","0.817","0.805","","","","","43","0.802","806","142","","","","Online","0.750","0.817","0.805","","","","","45","0.816","806","142","","","Online","0.800","0.817","0.705","","","","","35","0.717","806","143","","","","0.800","0.824"
"4/12/2026 04:08:33 AM","3216","","","","","Panel Reset/Standby","","5356","Running","Running","","","67","65","72","73","0.800","","","","","45","0.816","802","143","","","Online","1.000","0.817","0.800","","","","","45","0.816","802","143","","","","Online","0.750","0.817","0.800","","","","","46","0.825","802","143","","","Online","0.800","0.817","0.837","","","","","45","0.813","802","144","","","","0.800","0.824"
"4/12/2026 03:53:33 AM","3170","","","","","Panel Reset/Standby","","5355","Running","Running","","","67","64","71","73","0.805","","","","","44","0.805","803","143","","","Online","1.000","0.817","0.805","","","","","44","0.802","803","143","","","","Online","0.750","0.817","0.805","","","","","43","0.799","803","143","","","Online","0.800","0.817","0.765","","","","","43","0.799","804","145","","","","0.800","0.824"
"4/12/2026 03:38:33 AM","3133","","","","","Panel Reset/Standby","","5355","Running","Running","","","67","65","72","71","0.800","","","","","45","0.809","801","143","","","Online","1.000","0.817","0.800","","","","","45","0.811","800","143","","","","Online","0.750","0.817","0.800","","","","","46","0.821","800","144","","","Online","0.800","0.817","0.735","","","","","37","0.738","801","145","","","","0.800","0.824"
